,Email,Name,Phone,Title,Website,Street,City,Postal Code,Associated with,Description,Latitude,Longitude,EIN,State
THE STEP UP SUPPORT CENTER,, ,,,,8815 LEW DR ,LITTLE ROCK,72209,,"

SUBSTANCE ABUSE - CITY OF LITTLE ROCK, AR LITTLE ROCK, ARKANSAS The Step Up Center's original initiative was to provide a substance abuse support center for the Southwest Little Rock area. 1. Assessment of chemical dependency and related problems for adults. 2. Referral and appropriate services and treatment programs to meet identified needs and circumstances and individualized relapse prevention planning.",0.0,0.0,71-0720079,AR
HELPING HANDS OF BISMARCK AR,, ,,,,3864 HIGHWAY 7 ,BISMARCK,71929,,"

",34.2803315,-93.1596371,27-2780505,AR
188TH FIGHTER WING SORT CHAFFEE COUNCIL,, ,,,,PO BOX 11467 % TROY GASTON,FORT SMITH,72917,,"To support the 188th Air National Guard and produce and promote a bi-annual air show for the Western Arkansas and Eastern Oklahoma area.

Produced and promoted an air show at the Fort Smith, AR airport in May of 2008.",35.3323462,-94.39950739999999,32-0213697,AR
WALNUT RIDGE ARMY FLYING SCHOOL MUSEUM INC,, ,,,walnutridge-aaf.com,70 BEACON RD ,WALNUT RIDGE,72476,,"MUSEUM AND AVIATION HISTORY

OPERATED AVIATION MUSEUM AT WALNUT RIDGE, AR AIRPORT WHICH HOUSES WWII AVIATION MEMORABILIA HUNDREDS OF PEOPLE VISITED THE MUSEUM IN 2007, INCLUDING VETERANS, SCHOOLS, AND OTHER CIVIC GROUPS",36.1208642,-90.92996730000002,71-0823772,AR
ARKANSAS CRISIS RESPONSE TEAM INC,, ,,,,PO BOX 94375 ,N LITTLE ROCK,72190,,"

",34.78,-92.27,33-1059518,AR
NATIONAL ASSOCIATION OF BLACK VETERANS INC,, ,,,,1207 S ELM ST % WILLIAM WARFIELD,PINE BLUFF,71601,,"

",34.2284312,-92.00319549999999,03-0595135,AR
FIRST BAPTIST CHURCH OF MILITARY HEIGHTS INC,, ,,,,2015 MAIN ST ,N LITTLE ROCK,72114,,"

",0.0,0.0,71-0530358,AR
THE ARC FOR RIVER VALLEY,arcrivervalley@gmail.com,Patti Logan,479-221-5655,Executive Director,www.arcrivervalley.org,2301 South 56th Street Suite 107,Fort Smith,72903,,"The Arc for the River Valley provides advocacy, education, and recreation  for those with intellectual and developmental disabilities.  

PROVIDES SERVICES TO MENTALLY CHALLENGED PERSONS. THE SERVICES INCLUDE PROMOTING GENERAL WELFARE, FOSTER THE DEVELOPMENT OF PROGRAMS ON THEIR BEHALF, AND TO ADVISE AND AID PARENTS IN THE SOLUTIONS OF THEIR PROBLEMS.",0.0,0.0,71-0511269,AR
AMVETS,, ,,,,114 FRONT ST % CHARLES B JEFFERY JR,NEWPORT,72112,,"

",0.0,0.0,71-0811821,AR
Catherine House,,Ann Hardcastle,,Executive Director,,1020 W 14th St ,Little Rock,72202,,"To reach out and provide hope to young parents by organizing and operating a family-oriented development center to serve the health and social service needs of of first-time pregnant or parenting teenages.

THE ORGANIZATION'S PRIMARY PURPOSE WAS TO PROVIDE EDUCATIONAL AND TRAINING SUPPORT TO HELP POOR AND UNDER-SERVED WOMEN EMPOWER THEMSELVES AND THEIR CHILDREN TO BECOME ECONOMICALLY SELF-SUFFICIENT. HOWEVER, DUE TO INSUFFICIENT FUNDING PROGRAM SERVICES CEASED FEBRUARY, 2006.",34.7368534,-92.28382669999999,71-0769678,AR
MILITARY ORDER OF THE PURPLE HEART OF THE USA,, ,,,,2916 N OLD WIRE RD ,FAYETTEVILLE,72703,,"

",0.0,0.0,80-0613920,AR
AMVETS,, ,,,,2610 OLD GREENSBORO RD % CONNIE MCQUEEN,JONESBORO,72401,,"

",0.0,0.0,94-3470064,AR
MILITARY ORDER OF THE WORLD WARS,, ,,,,5 CORAL LN ,JACKSONVILLE,72076,,"

",0.0,0.0,24-2259034,AR
AMVETS,, ,,,,830 HIGHWAY 247 % TERESA SHUMAK,MORRILTON,72110,,"

",0.0,0.0,71-0845203,AR
Arkansas Able,, ,,,,"200 S. University , Suite 205 ",Little Rock,72205,,"Arkansas ABLE was founded in 1982 by Norma Wisor to prepare and link job seekers age 50 and over with jobs in business and industry.

JOB TRAINING PARTNERSHIP ACT - PROVIDES EMPLOYMENT TRAINING AND LOCATION SERVICES TO OLDER WORKERS IN ARKANSAS.",0.0,0.0,71-0589037,AR
MILITARY ORDER OF THE PURPLE HEART OF THE USA,, ,,,,4618 WESTMINSTER % JOHN T TEMPLETON,BENTON,72019,,"

",0.0,0.0,71-0695424,AR
MID SOUTH HEALTH SYSTEMS INC,, ,,,WWW.MSHS.ORG,2707 BROWNS LN ,JONESBORO,72401,,"TO ENSURE THE AVAILABILITY OF COMPREHENSIVE, COMMUNITY-BASED MENTAL HEALTH SERVICES THAT ARE ACCESSIBLE TO THE PUBLIC AND PROMOTE INTEGRITY AND ETHICAL STANDARDS FOR ALL INVOLVED

OUTPATIENT SERVICES WHICH CONSIST OF GROUP & FAMILY COUNSELING, PSYCH EVALS, COURT ORDERED EVALS, AND ALCOHOL & DRUG COUNSELING THIS PROGRAM SERVED 3,064 CLIENTS DURING THE FISCAL YEAR ENDED 6/30/10",0.0,0.0,71-0774925,AR
NATIONAL ASSOCIATION OF RETIRED AND VETERAN RAILWAY EMPLOYEES INC,, ,,,,3 MONTE CIR % ROBERT W ARCHER,HOT SPRINGS,71909,,"

",34.6268402,-92.99755929999999,30-0478008,AR
AMVETS,, ,,,,2610 OLD GREENSBORO RD % MARK MCQUEEN,JONESBORO,72401,,"

",35.84229670000001,-90.704279,51-0590563,AR
WOMEN MARINES ASSOCIATION,, ,,,,415 MARYLAND ST % VICKIE S DAVIS,BENTON,72015,,"

",34.5645371,-92.586828,51-0207080,AR
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,6009 WOODVIEW DR N % JOHN CROUCH,SHERWOOD,72120,,"

",34.8150907,-92.2243153,62-1709224,AR
MOMS CLUB,, ,,,,1814 PLEASANT POINT CIR % LANA M SKIAVO,BRYANT,72022,,"

",0.0,0.0,26-0072505,AR
"Jubilee Family Church, Inc.",jubilee@cei.net,Mark Evants,,Senior Pastor / Director,,45 Thunderbird Dr ,Batesville,72501,,"Our organization began its community outreach focus through serving and mentoring over 100 youth from Newport, AR who were bussed over 30 miles each week to our facility in Batesville, Arkansas.  Because of logistical problems of transporting these large numbers of youth, we purchased and renovated a 5,500 sq.ft. building to function as a community outreach center for youth and families in the city of Newport (30 miles away).  Volunteers spent eight months and over 2,400 hours renovating the building with the help of community support and other local volunteers.  Over $30,000 was given locally in cash and materials.  The Center is now drawing support from a growing number of local volunteers.  Services have grown to provide emergency food and clothes, a youth activity program, the Faith in Action Coalition (Robert Wood Johnson Foundation program to serve the elderly / terminally ill).  With additional funding for ""Project Compassion"" we will launch an after-school program with mentoring, recreation, and homework help; a technology center to serve single mothers, youth,home schoolers, and adult education.  A commercial kitchen is 90% finished to begin a soup kitchen for the poor and homeless of the community.

",0.0,0.0,71-0799224,AR
AMVETS,, ,,,,232 W ROBIN TRL % RICHARD KLEVEN SR,LEAD HILL,72644,,"

",36.4197897,-92.9148948,56-2444105,AR
AMVETS,, ,,,,288 OPAL RD % HAROLD D GIFFORD,EL PASO,72045,,"

",0.0,0.0,20-5605896,AR
MOMS CLUB,, ,,,,15810 LOONEY RD ,BELLA VISTA,72715,,"

",36.4690337,-94.16246799999999,56-2555267,AR
Civil Air Patrol 03094 AR River Valley Composite Squadron,ccrowe@capnhq.gov,Charlotte Crowe,,Chief Public Relations,http://www.capnhq.gov/,3305 Hwy 25 N ,Conway,72032,,"For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services. Aerospace Education America''s love of manned flight started with the Wright brothers and continues unabated during this century. World War II showcased the important role aviation would play in the future and national leaders recognized the importance of stimulating public interest in aerospace activities. CAP, as the civilian Auxiliary of the U.S. Air Force, was most suited to perform this mission. Their efforts focused on two different audiences - internal CAP members and the general public.Aerospace educators working out of CAP''s National Headquarters at Maxwell AFB, Ala., provide materials that are current and reflect the highest standards of educational excellence.The congressional charter also tasked CAP to stimulate public interest in aerospace issues. These external programs are primarily conducted through our nation''s education systems.  These workshops highlight basic aerospace knowledge and focus on advances in aerospace technology. Textbooks, learning tools, and visual aids geared to stimulate interest in aerospace matters also are provided for teachers to use in their classrooms. Started in 1951, these workshops have reached hundreds of thousands of young people.CAP also plans and executes the National Congress on Aviation and Space Education. NCASE is the premier aerospace education conference held in the nation. The NCASE is designed to promote an understanding of aviation and space education to motivate and encourage teachers to incorporate aerospace education into their curriculum. It also encourages aerospace leaders to speak out on aerospace issues facing our nation today.

",35.123817,-92.450847,51-0201596,AR
AMATEUR ATHLETIC UNION OF THE UNITED STATES,, ,,,,8201 CANTRELL RD STE 260 % SCOTT HORRELL,LITTLE ROCK,72227,,"

",34.7785949,-92.37642579999999,34-2051858,AR
AMVETS,, ,,,,2905 E BROADWAY ST % DARRELL SIMPSON,WEST MEMPHIS,72301,,"

",35.1377209,-90.19633639999999,26-0385305,AR
SONS OF CONFEDERATE VETERANS INC,, ,,,,164 PEACE RD ,EL DORADO,71730,,"

",0.0,0.0,58-1615454,AR
YOUNG NUTRITIONAL SERVICES,, ,,,,5847 E HIGHWAY 96 ,OZARK,72949,,"Young Nutritional Services is a pass through entity. They assist Center-based and Home-based daycare facilities by attaining reimbursements for nutritionally balanced meals for the facilities through the Child and Adult Food Care program administered by the Arkansas Department of Human Services.

The Entity reimburses Center and Home based daycare facilities for serving nutritionally balanced meals through the Child & Adult Food Care Program.",0.0,0.0,58-1959159,AR
CASA OF ARKANSAS COUNTY,, ,,,,PO BOX 288 ,DEWITT,72042,,"

",0.0,0.0,20-5572793,AR
VETERANS OF FOREIGN WARS OF THE US DEPT OF ARKANSAS LADIES AUXILIARY,, ,,,,103 S E 1ST STREET ,ATKINS,72823,,"

",35.24143,-92.9374127,51-0201426,AR
ECONOMIC AND NONPROFIT SOLUTIONS INC,, ,,,,PO BOX 245 ,STUTTGART,72160,,"

",34.5003748,-91.5526281,26-1839608,AR
VETERANS OF FOREIGN WARS OF THE US DEPT OF ARKANSAS LADIES AUXILIARY,, ,,,,PO BOX 141 ,COTTER,72626,,"

",36.2711798,-92.5354402,51-0201430,AR
MILITARY ORDER OF THE PURPLE HEART OF THE USA,, ,,,,PO BOX 8334 % SURRY G SHAFFER,HOT SPRINGS,71910,,"

",34.64,-93.06,11-3751577,AR
CHILDRENS SAFETY CENTER INC,, ,,,,614 E EMMA AVE STE 200 ,SPRINGDALE,72764,,"CHILD ABUSE VICTIM ASSISTANCE

MEDICAL EXAMINATION AND ASSISTANCE PROVIDED TO VICTIMS OF CHILD ABUSE.",36.1851399,-94.122531,62-1671178,AR
Court Appointed Special Advocates Casa of the 2nd Judicial District,dnika@nationalcasa.org,D'Nika Jackson,(800) 628-3233,Resource Development Coordinator,http://www.nationalcasa.org/,PO Box 242 ,Jonesboro,72403,,"National CASA's mission is to ensure that every child in or risk of being placed in foster care has a CASA Volunteer, appointed by judges to be a voice for these children in court. The result is that they are placed into safe, loving homes where they can thrive.

TRAINED VOLUNTEERS ADVOCATED FOR ABUSED AND/OR NEGLECTED CHILDREN",35.673781,-90.5066609,71-0776253,AR
WOMENS SHELTER OF CENTRAL ARKANSAS INC,, ,,,www.conwaywomensshelter.com,PO BOX 2557 ,CONWAY,72033,,"TO PROVIDE ASSISTANCE TO VICTIMS OF DOMESTIC ABUSE AND TO EDUCATE THE COMMUNITY TO WORK TOWARD THE PREVENTION OF FAMILY VIOLENCE

PROGRAMS TO PROVIDE ASSISTANCE TO VICTIMS OF DOMESTIC ABUSE AND TO EDUCATE THE COMMUNITY TO WORK TOWARD THE PREVENTION OF FAMILY VIOLENCE",0.0,0.0,71-0761800,AR
CHRISTIAN FRIENDS COMMUNITY OUTREACH,, ,,,,PO BOX 564 % TONY AND PAULA CHANIKA,WARD,72176,,"DISTRIBUTION OF FOOD CLOTHES AND HOUSEHOLD ITEMS TO FAMILIES WITHIN THE WARD ARKANSAS

DISTRIBUTION OF FOOD CLOTHES AND MISC HOUESEHOLD ITEMS",0.0,0.0,71-0826113,AR
CROSSROADS CAREER CENTER,, ,,,www.corssroadscareer.org,650 S SHACKLEFORD RD ,LITTLE ROCK,72211,,"

Counseled and matched God-given abilities with jobs and helped place people in new careers",0.0,0.0,73-1613263,AR
CONQUEST HOUSE,, ,,,,512 N WASHINGTON AVE % JEANETTE SCOTT,EL DORADO,71730,,"TO PROVIDE FOOD, HOUSING AND TRAINING TO INDIVIDUALS WITH DRUG ABUSE PROBLEMS. THE INTENT IS TO HELP INDIVIDUALS BECOME DRUG FREE AND SELF SUPPORTING.

THE ORGANIZATION PROVIDES FOOD, HOUSING AND TRAINING TO INDIVIDUALS WITH DRUG ABUSE PROBLEMS. THE ORGANIZATION OPERATES TWO HALF WAY HOUSES FOR RECOVERING ADDICTS AND ONE USED CLOTHING STORE TO HELP RAISE SUPPORT. CLIENTS OF THE HALF WAY HOUSE PERFORMS ODD JOBS AND THE ORGANIZATION ACCEPTS DONATIONS FOR SUPPORT. APPROXIMATELY 30 INDIVIDUALS ARE BEING HELPED.",33.20763,-92.6662674,26-0619254,AR
RECOVERY CENTERS OF ARKANSAS,, ,,,www.rcofa.org,1201 RIVER RD ,N LITTLE ROCK,72114,,"Alcohol and drug rehabilitation

The organization provides inpatient and outpatient counseling services as well as chemical free living accommodations to recovering alcohol and drug addicts Accomplishments for FY ending 6/30/09 are as follows 1 Residential treatment for 339 individuals While the two apartment buildings, Williamsburg and Steeplechase average an 85% to 90% occupancy rate",0.0,0.0,71-0355160,AR
MISS EVAS HELPING HANDS,, ,,,,3 RUSSELL RD % EVA TILLEY,CONWAY,72032,,"

",35.0886963,-92.4421011,84-1705822,AR
VETERANS OF FOREIGN WARS DEPT OF ARKANSAS 4552 TEAGUE-DAVIS,, ,,,,PO BOX 322 ,DIERKS,71833,,"

",34.1192785,-94.0165816,71-6058454,AR
HAND UP HOUSING OF ARKANSAS,, ,,,,620 CURTIS SYKES DR ,N LITTLE ROCK,72114,,"

",34.768208,-92.2610701,36-4666821,AR
SON EVANGELIST MISSION MINISTRIES INC,, ,,,,PO BOX 463 ,AVOCA,72711,,"SUPPORT CHRISTIAN CHURCHES

SENDING MISSIONARIES TO HATI TO BUILD OR REPAIR CHURCHES AND PROVIDE SUPPORT FOR TEACHERS IN HATI AND ALSO MEDICAL SERVICES.",0.0,0.0,62-1709720,AR
SOUTH ARKANSAS REGIONAL HEALTH CENTER,, ,,,HTTP://WWW.SARHC.ORG/,715 N COLLEGE AVE ,EL DORADO,71730,,"South Arkansas Regional Health Center, Inc. is a not-for-profit organization that provides counseling and mental health services to residents of South Arkansas.

PSYCHIATRIC TREATMENT PROGRAM",33.2184306,-92.6740343,71-0388012,AR
STONE COUNTY DRUG ABUSE PREVENTION,, ,,,,1821 E MAIN ST % JANE SHIPMAN,MOUNTAIN VIEW,72560,,"

",35.8684075,-92.11765210000002,20-3811587,AR
MILITARY ORDER OF THE PURPLE HEART OF THE USA,, ,,,,4618 WESTMINSTER % G HENRY MCDANIEL,BENTON,72019,,"

",34.5645371,-92.586828,71-0807053,AR
DISABLED AMERICAN VETERANS,, ,,,,23 W MAIN ST ,PARIS,72855,,"

",35.293089,-93.73025799999999,23-7169102,AR
MOTHER TO MOTHER MINISTRY OF NORTHWEST ARKANSAS,, ,,,,1104 SWALTON BLVD 102 ,BENTONVILLE,72712,,"Charitable Organization 501(c)(3)

Mentoring and matching mothers for friendship & educational enrichment.",36.359916,-94.216335,71-0731139,AR
BIRCH TREE COMMUNITIES INC,, ,,,,PO BOX 1589 ,BENTON,72018,,"PROVIDE SERVICES FOR MENTALLY ILL PERSONS

TREATMENT AND RESIDENTIAL EXPENSES FOR MENTAL ILL LIVING IN SUPERVISED SMALL GROUPS",0.0,0.0,71-0680117,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 195 ,JONESBORO,72403,,"

",0.0,0.0,71-6061899,AR
ARKANSAS RETIRED MILITARY ASSOCIATION INC,, ,,,,916 LESSEL DR ,JACKSONVILLE,72076,,"

",34.885421,-92.119058,51-0136010,AR
LIVING WITH LUPUS FOUNDATION INC,, ,,,,2200 W SHORT 17TH ST ,N LITTLE ROCK,72114,,"COUNSELING & PHARMACEUTICAL ASST

PROVIDED INDIVIDUALS WITH PUBLIC AWARENESS MATERIALS, COUNSELING AND PHARMACEUTICAL ASSISTANCE.",0.0,0.0,71-0816362,AR
STARTING TODAY AFFECTS TOMORROW CENTER INC,, ,,,,3017 S IZARD ST % KENNETH PETTUS,LITTLE ROCK,72206,,"

",34.6429822,-92.2433487,27-1495694,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 1620 ,N LITTLE ROCK,72115,,"ASSISTANCE TO DISABLED VETS

TO PROVIDE NEEDED ASSISTANCE TO DISABLED AMERICAN VETERANS THROUGH SUPPORT, HEALTH AND STATUS OF LIFE.",34.78,-92.27,71-6055255,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,PO BOX 17009 % HAROLD HOFSTETTER,N LITTLE ROCK,72117,,"

PROVIDING EMPLOYMENT & FINANCIAL ASSISTANCE TO VETERANS AND THEIR FAMILIES AS NEEDED",34.777697,-92.1253854,71-0499312,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 860 ,MENA,71953,,"

",34.5862171,-94.23965539999999,36-6208569,AR
ARKANSAS DESIGNATED DRIVER PROGRAM INC,, ,,,,PO BOX 3866 ,LITTLE ROCK,72203,,"

",0.0,0.0,71-0687823,AR
BELLA VISTA COURTESY VAN INC,, ,,,,1801 FOREST HILLS BLVD ,BELLA VISTA,72715,,"

WE PROVIDE COURTESY TRANSPORTATION FOR PERSONS IN THE COMMUNITY WHO HAVE SPECIAL TRANSPORTATION NEEDS OR DON NOT HAVE ACCESS TO TRANSPORTATION. PERSONS SERVED THIS FISCAL YR 500 EST.",36.46182599999999,-94.30052300000001,58-1973241,AR
GOSPEL MISSION OUTREACH MINISTRIES INC,, ,,,,353 MOUND ST ,HOT SPRINGS,71901,,"

",34.5100025,-93.04371230000001,30-0191141,AR
AMATEUR ATHLETIC UNION OF THE UNITED STATES,, ,,,,708 W MISSISSIPPI ST % HERMON BLACKMON,BEEBE,72012,,"

",35.0706423,-91.8795856,01-0894517,AR
LIFE PATH COUNCIL INC,, ,,,,1123 S PARK ST ,LITTLE ROCK,72202,,"

",34.739876,-92.297293,27-1682609,AR
ZION HILL HUMAN SERVICES AGENCY,, ,,,,820 GRAVEL PIT RD ,CAMDEN,71701,,"

",33.5985375,-92.83773359999999,71-0861292,AR
VICTORY VOYAGER SOCIAL CLUB INC,, ,,,,13670 HIGHWAY 79 W % MACK CLEVELAND,MORO,72368,,"

",34.7950966,-90.9912295,48-1275543,AR
ANOINTED PRAISE AND WORSHIP MINISTRIES INC,, ,,,,PO BOX 6456 ,PINE BLUFF,71611,,"

",33.877984,-91.9008659,45-2512893,AR
Food Bank of Northeast Arkansas,cjordan@foodbankofnea.org,Christie Jordan,870-9323663,Executive Director,www.foodbankofnea.org,3406 S Culberhouse ,Jonesboro,72404,,"The Food Bank of Northeast Arkansas works to eliminate hunger by distributing food to people in need through a network of non-profit agencies and programs.

THE FOOD BANK PROVIDES FOOD FOR THE NEEDY OF VARIOUS COMMUNITIES THROUGH A NETWORK OF NOT FOR PROFIT AGENCIES IN ITS FUNCTION AS A CENTRAL WAREHOUSE FOR DISTRIBUTION.",0.0,0.0,71-0810999,AR
VETERANS OF FOREIGN WARS OF THE US DEPT OF ARKANSAS LADIES AUXILIARY,, ,,,,PO BOX 404 ,CAMDEN,71802,,"

",33.67,-93.58999999999999,51-0199021,AR
GRAVETTE SENIOR CITIZENS HOUSING INC,, ,,,,PO Box 1795 ,Harrison,72602,,"Provide low income elderly and disabled persons with housing designed to meet their needs To promote their health, security and happiness

Providing low income elderly and disabled persons with housing designed to meet their needs",35.918186,-92.9733229,71-0604375,AR
JDW MINISTRY OF JESUS CHRIST,, ,,,,72 JO JO LN % JOHN DAVID WHITEHEAD,N LITTLE ROCK,72117,,"

",34.777697,-92.1253854,26-0091490,AR
BLACK ROCK AREA COMMUNITY SENIORS,, ,,,,491 ELM ST % JERRY PENTECOST,BLACK ROCK,72415,,"

",0.0,0.0,74-3155731,AR
S W CHANCE INC,, ,,,,PO BOX 94893 % FRED S NORMAN,N LITTLE ROCK,72190,,"

",34.78,-92.27,26-3388937,AR
GENESIS COMMUNITY DEVELOPMENT CENTER INC,, ,,,,PO BOX 17751 ,N LITTLE ROCK,72117,,"

",34.777697,-92.1253854,71-0797603,AR
RANDOLPH COUNTY CORNERSTONE COALITION INC,, ,,,,111 W EVERETT ST % SALLY WELLMAN,POCAHONTAS,72455,,"

",0.0,0.0,77-0687572,AR
SOUTH ARKANSAS WORKFORCE TRAINING AND EDUCATION CONSORTIUM,, ,,,,3696 E MAIN ST ,EL DORADO,71730,,"

",33.2167638,-92.61890679999999,27-1614939,AR
BRANCH COMMUNITY CENTER INC,, ,,,,419 JONES ST % EDWARD WREN,NEWPORT,72112,,"

",35.6048018,-91.2817951,55-0843532,AR
JUNIOR AUXILLARY OF JONESBORO ARKANSAS INC,, ,,,www.jajonesboro.org,PO BOX 878 ,JONESBORO,72403,,"To improve the lives of Craighead County, Arkansas children by developing and implementing programs that instill self-esteem and challenge minds.

Scholarships awarded to local university students who qualify under guidelines established by the organization and creation of endowed scholarship at local university.",35.673781,-90.5066609,23-7403148,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,13614 ELMORE RD E ,MANSFIELD,72944,,"

",0.0,0.0,23-7297321,AR
MAKE A CHILD SMILE OF CENTRAL ARKANSAS,, ,,,,PO BOX 1376 % TODD RIVERS,CONWAY,72033,,"

",35.089701,-92.43924969999999,13-4288137,AR
SOUTHEAST ARKANSAS HOME REHABILITATORS,, ,,,,310 N 3RD ST ,MCGEHEE,71654,,"

",33.624808,-91.396738,27-0704879,AR
ARKANSAS RETIRED MILITARY ASSOCIATION INC,, ,,,,144 N GREENWOOD AVE ,FT SMITH,72901,,"

",35.3762657,-94.40351109999999,23-7442469,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 888 ,MALVERN,72104,,"

",0.0,0.0,71-6061902,AR
DILLARDS EMPLOYEE DISASTER RELIEF FUND,, ,,,,1600 CANTRELL RD % SHERILL E WISE,LITTLE ROCK,72201,,"RELIEF FOR PRESIDENTIALLY DECLARED DISASTERS

The organization provides assistance to employees of Dillard's and their immediate family members who are needy and/or distressed on account of a Presidentially declared disaster. The organization alleviates suffering by providing basic necessities or funds for basic necessities such as food, clothing, housing, transportation, or medical assistance. Approximately 772 people have been assisted by the organization.",34.7499657,-92.28520139999999,20-3423063,AR
KIDS COUNT INC,, ,,,,PO BOX 4880 ,FAYETTEVILLE,72702,,"

",36.453733,-94.19572400000001,71-0843680,AR
GLOBAL VILLAGE COMMUNITY SERVICES INC,, ,,,,PO BOX 911 ,NO LITTLE ROCK,72115,,"

",34.78,-92.27,71-0745436,AR
STRIVING FOR A BETTER COMMUNITY INC,, ,,,,27 MEADOW RIDGE LOOP ,MAUMELLE,72113,,"

",34.87633,-92.409995,71-0862095,AR
