,Email,Name,Phone,Title,Website,Street,City,Postal Code,Associated with,Description,Latitude,Longitude,EIN,State
MARINE CORPS LEAGUE,, ,,,,PO BOX 470816 % JACK FORREST,TULSA,74147,,"

",36.1,-95.89,26-3656795,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,2440 S WOODLAND RD ,MUSKOGEE,74403,,"

",35.7240756,-95.2515775,25-2621162,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,610 N 6TH AVE % MARILYN ELLIS,PURCELL,73080,,"

",0.0,0.0,73-1615488,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,236 N N AVE ,EL RENO,73036,,"

",35.5312718,-97.93929089999999,73-1384864,OK
SONS OF UNION VETERANS OF THE CIVIL WAR,, ,,,,1409 BELLA VISTA DR % TIMOTHY R WILLIAMS,EDMOND,73013,,"

",0.0,0.0,91-1851856,OK
"Crossroads, Inc.",jwineinger@crossroadsok.org,James Wineinger,,Executive Director,www.crossroadsok.org,1888 E 15th St ,Tulsa,74104,,"Mission The mission of Crossroads Clubhouse is to be a community of support and hope for adults diagnosed with a mental illness by providing choices and opportunities for meaningful employment, housing, education, wellness, and social interaction.

The organization provided approximately 300 persons with continuing care and rehabilitation services for mental illness in the Tulsa, Oklahoma area The organization also provides or arranges for transitional living accommodations, supervision, social services, community support, instructional living skills, vocational rehabilitation and resocialization",0.0,0.0,73-1447897,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,1618 SPRUCE CIR % DOYLE WASSON,SHAWNEE,74804,,"

",0.0,0.0,73-1235125,OK
"Work Activity Center, Inc.",, ,,,,203 E. Main ,Moore,73160,,"Work Activity Center was founded in 1976 by parents to provide the opportunity for people with disabilities to achieve their highest potential and be productive in the community.

Provided work and wages for 24 developmentally diabled persons.",0.0,0.0,73-1012767,OK
NATIONAL ASSOCIATION OF BLACK VETERANS INC,, ,,,,3103 MURRAY CT ,STILLWATER,74074,,"

",0.0,0.0,90-0664886,OK
RESERVE OFFICERS ASSOCIATION OF THE UNITED STATES,, ,,,,8109 REDHAWK LN ,EDMOND,73034,,"

",0.0,0.0,73-1219596,OK
"Ronald McDonald House Charities of Oklahoma City, Inc.",tgilkey@rmhcokc.org,Tamara Gilkey,,Director of Development,http://www.rmhokc.org,1301 NE 14th St ,Oklahoma City,73117,,"Families who need a place of comfort and support while their ill child receives medical treatment locally. All the necessities of home are provided for at the Ronald McDonald House

OWNS AND OPERATES THE RONALD MCDONALD HOUSE. THE 15 BEDROOM FACILITY PROVIDES TEMPORARY LODGING TO FAMILIES OF SERIOUSLY ILL CHILDREN WHO MUST LEAVE THEIR OWN COMMUNITY TO SEEK MEDICAL CARE FOR THEIR CHILD, THE HOUSE IS THE ONLY SUCH FACILITY IN OKLAHOMA CITY. THE HOUSE IS OPEN TO ALL FAMILIES, NO MATTER WHAT ECONOMIC STATUS. THE ONLY CRITERION IS TO HAVE A CHILD UNDER THE AGE OF 21 WHO NEEDS TREATMENT AND LIVES OUTSIDE OF THE OKLAHOMA COUNTY.",35.484326,-97.48865699999999,73-1103242,OK
MARINE CORPS LEAGUE,, ,,,,1608 BRECKENRIDGE DR % KEYTH HOWRY,DEL CITY,73115,,"

",35.4420062,-97.4408698,36-4623432,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,3013 W PARK PL ,OKLAHOMA CITY,73107,,"

",35.47983,-97.5686039,73-1148462,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,PO BOX 156 ,HOWE,74940,,"

",0.0,0.0,73-1468797,OK
Young Womens Christian Association of Oklahoma City,carolegore@ywcaokc.ort,Carole Gore,,Grants Writer,www.ywcaokc.org,2460 W I 44 Service Rd ,Oklahoma City,73112,,"YWCA OKC provides services for victims of domestic violence and sexual assault, including youth and children and works to eliminate racism and empower women.

The YWCA Oklahoma City is the only shelter for battered women and children in Oklahoma County, providing help and hope to nearly 500 women and children in need In the shelter, immediate needs are met - food, clothing, basic medical care and a place to rest and heal from the trauma of domestic abuse In addition to emergency shelter, the YWCA also provides counseling, support groups, case management, childcare and education classes to help victims of violence heal from the trauma of abuse",0.0,0.0,73-0579272,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,5208 S CHESTNUT AVE ,BROKEN ARROW,74011,,"

",0.0,0.0,73-1387304,OK
YOUNG MEN CHRISTIAN ASSOCIATION PONCA CITY,sharland@ymcaofponcacity.net,Shane Harland,,Executive Director,www.ymcaofponcacity.net,702 E. Grand Ave ,Ponca City,74601,,"Mission: To put Christian principles into practice through programs that build healthy spirit, mind and body for all.

PROVIDE EXERCISE AND PHYSICAL EDUCATION SUPERVISION AND INSTRUCTION FOR 3800 MEMBERS (ADULTS AND CHILDREN) AND CLASS PARTICIPANTS TAUGHT 135 CHILDREN TO SWIM. MEMBERS AND GUESTS ARE WELCOMED REGARDLESS OF AGE, RACE, SEX, ETHNICITY, ABILITY, OR RELIGION, WITH NO ONE DENIED ACCESS TO ANY PROGRAM OR SERVICE SOLELY ON THE INABILITY TO PAY.",36.7034959,-97.0759782,73-0634724,OK
MILITARY ORDER OF THE PURPLE HEART OF THE USA,, ,,,,PO BOX 886 ,NEWCASTLE,73065,,"

",0.0,0.0,73-1501861,OK
WOMEN MARINES ASSOCIATION,, ,,,,5841 E 21ST PL % JENNIFER E MORSE-ANTHIS,TULSA,74114,,"

",0.0,0.0,73-1184598,OK
CASA of Southeast Oklahoma Inc,casaseok@sbcglobal.net,Karen Fisher,,Executive Director,http://www.casaseok.org/,P O Box 1356 ,McAlester,74502,,"CASA of Southeast Oklahoma provides trained volunteer advocates to speak-up for abused and neglected child.

PROVIDED TRAINED COMMUNITY VOLUNTEERS TO ADVOCATE FOR THE BEST INTEREST OF CHILDREN WHO COME INTO THE JUVENILE COURT SYSTEM.",0.0,0.0,73-1425172,OK
"Edwin Fair Community Mental Health Center, Inc.",, ,,,,1500 N. Sixth St. ,Ponca City,74601,,"Edwin Fair Community Mental Health Center was founded in 1963 by Edwin Fair, M.D. to provide high quality mental health services to residents of Kory, Osage, Noble, Pawnee and Payne counties in Oklahoma.

PROVIDED MENTAL HEALTH SERVICES TO ADULTS AND CHILDREN",0.0,0.0,73-6113221,OK
"City Rescue Mission, Inc.",tjones@cityrescue.org,Tom Jones,,President/CEO,www.cityrescue.org,800 W. California Avenue ,Oklahoma City,73106,,"Our mission is to lead our community by serving the homeless with help, hope, and healing, in the spirit of excellence, under the call of Christ.

OUR EMERGENCY RELIEF SERVICES MEET THE IMMEDIATE PHYSICAL NEEDS OF MEN, WOMEN AND CHILDREN WHO ARE HOMELESS: NOURISHING FOOD, A HOT SHOWER, CLEAN CLOTHING AND A SAFE NIGHT'S REST. FOR SOME, THIS HELP IS ALL THEY NEED TO GET BACK ON THEIR FEET.",0.0,0.0,73-0713883,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,1186 ROSE ST % IRVIN G MULLINS,WAYNOKA,73860,,"

",0.0,0.0,73-1224181,OK
WOMEN MARINES ASSOCIATION,, ,,,,2801 REDBUD LN % PAMELA J BLOUSTINE,EDMOND,73025,,"

",0.0,0.0,73-1506535,OK
CLARK VETERANS CEMETERY RESTORATION ASSOCIATION,, ,,,,4000 ONE WILLIAMS CTR ,TULSA,74172,,"

",36.1551715,-95.9905229,27-3053909,OK
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 877 ,VALLIANT,74764,,"

",34.0023293,-95.0938386,31-1315327,OK
PONCA CITY TOMORROW FOUNDATION INC,, ,,,,PO Box 1424 ,Ponca City,74602,,"

",0.0,0.0,73-1414978,OK
HOW FOUNDATION RECOVERY CENTER OF OKLAHOMA INC,, ,,,,5649 S GARNETT RD ,TULSA,74146,,"REHABILITATION OF LIVE-IN ALCOHOLICS

H.O.W. FOUNDATION RECOVERY CENTER OF OKLAHOMA SEEKS TO FEED, CLOTHE, COMFORT, ENCOURAGE, AND GIVE SHELTER TO ALCOHOLICS, DRUG ADDICTS, AND OTHER PERSONS WHOSE PERSONAL HABITS, ILLNESSES OR INCLINATION PREVENT THEM FROM LEADING A FULFILLING OR COMFORTABLE LIFE. THE ORGANIZATION STRIVES TO CHANGE THE HABIT AND INCLINATIONS, AND TO CURE THE ILLNESSES OF SUCH PERSONS BY EDUCATION, RELIGIOUS INSTRUCTION, COUNSELING, WORK PROGRAMS AND ANY OTHER METHODS THAT APPEAR TO BE SUCCESSFUL.",0.0,0.0,73-1130618,OK
CAMINO REAL FUNDACION SOLDADOS DE CRISTO INC,, ,,,,2324 NW 31ST ST ,OKLAHOMA CITY,73112,,"

",35.501989,-97.55336,73-1602132,OK
WILLOW CREST HELPING HANDS FOUNDATION,, ,,,,130 A ST SW ,MIAMI,74354,,"

",36.8730347,-94.87868859999999,73-1588824,OK
ISRAEL ETERNAL INC,, ,,,,7107 S YALE STE 348 % JOE MORRIS,TULSA,74136,,"

",36.0613546,-95.9515399,73-1623340,OK
CORNERSTONE ADVANTAGE INC,, ,,,,PO BOX 2475 ,STILLWATER,74076,,"

",0.0,0.0,73-1594429,OK
SOUTHWEST YOUTH & FAMILY SERVICES INC,, ,,,,PO BOX 829 ,CHICKASHA,73023,,"Providing assistance to juveniles and their families in the form of shelter, parenting counseling and substance abuse treatment and counseling.

Shelter & counseling provided to juveniles & their families primarly in the local area.",0.0,0.0,73-0937233,OK
"1996 Nova Conference, Inc.",, ,,,,4520 E Fifth Pl ,Tulsa,74112,,"

",0.0,0.0,73-1476505,OK
OKLAHOMA HOUSING FOUNDATION,, ,,,,9807 BROADWAY EXT % LISA YATES,OKLAHOMA CITY,73114,,"

",35.582936,-97.5138947,75-3227474,OK
TULSA HELPS MINISTRY INC,, ,,,,PO Box 14126 ,Tulsa,74159,,"

",36.379129,-95.72942499999999,73-1429721,OK
WE CARE INC,, ,,,,125185 RANGER RD % DONNA GUNKEL,PERKINS,74059,,"

",35.9739448,-97.03364169999999,57-1228646,OK
VINITA INDIAN TERRITORY COALITIONINC,, ,,,,PO BOX 571 ,VINITA,74301,,"

",36.6386937,-95.15413389999999,20-5499584,OK
MISSION POSSIBLE INC,, ,,,,PO BOX 35443 ,TULSA,74153,,"Fund Church Building Programs

Contributions to other tax-exempt organizations",36.379129,-95.72942499999999,73-1414122,OK
SHEPHERDS OF LOVE MINISTRIES INC,, ,,,,1620 WHISPERING CREEK CT % TERESA K ROUNTREE,EDMOND,73013,,"

Assisting the needy with financial aid, referrals to other organizations, counseling and prayer.",35.6264403,-97.5138947,01-0608540,OK
PARENTS HELPING PARENTS INC,, ,,,,3416 S BOULEVARD ST % WARREN P NICHOLS,EDMOND,73013,,"

",35.6264403,-97.5138947,52-2457976,OK
PTA OKLAHOMA CONGRESS,, ,,,,9021 SE 15TH ST ,MIDWEST CITY,73130,,"

",35.450438,-97.36963,23-7130923,OK
AIR FORCE SERGEANTS ASSOCIATION,, ,,,,4812 ERIC DR % JONATHAN W BENNETT,OKLAHOMA CITY,73135,,"

",35.3922378,-97.4273195,52-1246963,OK
OKLAHOMA CITY CLEARINGHOUSE INC,, ,,,,701 NW 8th St ,Oklahoma City,73102,,"

",0.0,0.0,73-1389221,OK
EDMOND MOBILE MEALS INC,, ,,,,25 W 3RD ST ,EDMOND,73003,,"Provide meal services to elderly & disabled

Delivered 32657 meals to clients during 2008",0.0,0.0,73-1250443,OK
YARD DAWGZ CHARITABLE FOUNDATION INC,, ,,,,115 E CALIFORNIA AVE STE 400 # A ,OKLAHOMA CITY,73104,,"

",35.4655855,-97.510009,26-4138733,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,105 NE 6TH ST ,SPIRO,74959,,"

",35.2457512,-94.62110290000001,23-7143697,OK
MILITARY ORDER OF THE COOTIE OF THE UNITED STATES SUPREME PUP TENT,, ,,,,3208 NW 14TH ST ,OKLAHOMA CITY,73107,,"

",35.483861,-97.572809,73-6106781,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,PO BOX 73 ,TALIHINA,74571,,"

",0.0,0.0,23-1032653,OK
VIETNAM VETERANS OF AMERICA INC,, ,,,,PO BOX 46 % WILLIAM BARCKHOLTZ,PAULS VALLEY,73075,,"

",34.7400809,-97.22224510000001,20-5406166,OK
ASSOCIATION OF SEWING PROFESSIONALS INC,, ,,,,8718 S 72ND EAST AVE % EUDORA J DEVORE,TULSA,74133,,"

",0.0,0.0,20-1265398,OK
AMERICAN VETERANS OF WORLD WAR II KOREA AND VIETNAM,, ,,,,PO BOX 374 % BETTY C WOOD,DUNCAN,73534,,"

",0.0,0.0,73-1245637,OK
GLOUCESTER CRIME LINE INC,, ,,,,6533 MARSHALL WAY % MARTY FEINER,GLOUCESTER,73061,,"

",0.0,0.0,71-0876457,OK
AMERICAN LEGION POST 339 INC,, ,,,,109154 S 4767 RD % EDGAR STRATMAN,ROLAND,74954,,"

",0.0,0.0,20-2807293,OK
"Casa of Oklahoma County, Inc.",jjleelim@oklahomacounty.org,Lee Ann Limber,,Executive Director,www.okcountycasa.org,5905 N Classen Ct ,Oklahoma City,73118,,"To provide trained court appointed volunteers who advocate for the best interest of abused or neglected children in the juvenile court system.

TO PROVIDE TRAINED COURT APPOINTED VOLUNTEERS WHO ADVOCATE FOR ABUSED OR NEGLECTED CHILDREN IN THE OKLAHOMA COUNTY JUVENILE COURT SYSTEM. THE VOLUNTEERS WILL PROVIDE THE COURT WITH INFORMATION THE JUDGE NEEDS IN ORDER TO MAKE DECISIONS THAT ARE IN THE CHILD'S BEST INTEREST. CASA VOLUNTEERS RECORDED APPROXMATELY 14,637 HOURS OF SERVICE ORGANIZATION'S GRANTING SOURCES. IN ADDITION, THE VOLUNTEERS DROVE 101595 MILES THAT WERE NOT REIMBURSED BY THE PROGRAM.",35.532141,-97.528015,13-4364692,OK
THUNDERBIRD CLUBHOUSE BOARD INC,psanford@coxinet.net,Pam Sanford,,Director,,PO Box 1666 ,Norman,73070,,"To build a community that offers respect and opportunities to adults living with and recovering from mental illness, enabling memers to achieve their social, financial, vocational and independent living goals.

Housing for mentally handicapped individuals to provide independent living.",0.0,0.0,73-1425145,OK
HEARTLAND COUNCIL OF THE BLIND,, ,,,,PO BOX 30335 % JUDY P HANSEN,MIDWEST CITY,73140,,"

",35.4640881,-97.3837856,75-2977632,OK
OKLAHOMA VIETNAM VETERANS MEMORIAL INC,, ,,,,PO Box 667 ,Sand Springs,74063,,"

",36.1398102,-96.108891,73-1518010,OK
CAMP POSITIVE INC,, ,,,,1810 W GOLDEN ST ,TULSA,74127,,"

",0.0,0.0,90-0588442,OK
US ARMY FIELD ARTILLERY TRAINING CENTER,, ,,,,D 2 80TH FA ,FORT SILL,73503,,"

",0.0,0.0,73-1269399,OK
OKLAHOMA INTERVIEWING SERVICES INC,, ,,,,PO BOX 96305 % JULIE FARTHING,OKLAHOMA CITY,73143,,"

",35.47,-97.52,35-2246850,OK
AMVETS,, ,,,,1402 NW D AVE % LEE MOORE,LAWTON,73501,,"

",0.0,0.0,73-1380341,OK
HOUSE OF REPRESENTATIVES CAMPAIGN FOR OKLAHOMA KIDS INC,, ,,,,5224 S Western Ave ,Oklahoma City,73109,,"BENEFITS LIMITED TO ABUSED OKLAHOMA KIDS.

THE 501(C)3 WAS EXTABLISHED TO AFFORD SUPPORT FOR OKLAHOMA ABUSED CHILDREN. CASH ITEMS ARE FOR DIFFERENT ORGANIZATIONS WITH THE SAME GOALS.",35.413315,-97.529809,73-1518937,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,11810 E 78TH ST N ,OWASSO,74055,,"

",36.26617299999999,-95.84244199999999,26-4808114,OK
SEARCHLIGHT CENTER INC,, ,,,,PO BOX 804 ,HOBART,73651,,"Searchlight provides job training and basic living skills to the developmentally disabled adults through community based jobs and group homes. Also provide adult day care for elderly persons in the area

Daily living support to developmentally disabled adults",0.0,0.0,73-1219094,OK
FRONTLINE WARRIORS,, ,,,,PO BOX 27842 ,TULSA,74149,,"

",36.379129,-95.72942499999999,73-1421286,OK
SOCIETY OF ST VINCENT DE PAUL OKC DISTRICT COUNCIL INC,, ,,,,711 W HICKORY AVE % MARIUS DEASY,DUNCAN,73533,,"

",34.5023028,-97.9578128,20-5612113,OK
SONS OF CONFEDERATE VETERANS INC,, ,,,,RR 1 BOX 56 % JEFFREY W MASSEY,MINCO,73059,,"

",35.3128371,-97.9444913,58-2396124,OK
COVENANT FAMILIES MINISTRIES INC,, ,,,,8509 NW 124TH ST % STEVEN ALEXANDER,OKLAHOMA CITY,73142,,"

",35.6131551,-97.6385368,81-0655108,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,412 MCARTHUR BLVD ,ELK CITY,73644,,"

",0.0,0.0,73-1187024,OK
NORTH OKLAHOMA CO MENTAL HEALTH CTR,, ,,,,6300 N Classen ,Oklahoma City,73118,,"PROVIDE MENTAL HEALTH SERVICES

DISTRIBUTE TO OKLAHOMA COUNTY MENTAL HEALTH CENTER.",35.536469,-97.526592,73-1469920,OK
DAUGHTERS OF UNION VETERANS OF THE CIVIL WAR 1861-1865,, ,,,,1103 MARBARO LN ,OKLAHOMA CITY,73116,,"

",35.545053,-97.530186,26-2677588,OK
OKLAHOMA LEAGUE FOR THE BLIND,,Lauren White,,President/CEO,www.olb.org,501 N Douglas Ave ,Oklahoma City,73106,,"Oklahoma League for the Blind is a private, non-profit agency founded in 1949 to empower blind and vision impaired individuals to achieve their maximum level of personal independence through education, employment, self-advocacy, self-determination, social enterprise, and rehabilitation.

PRIMARY PURPOSE WAS TO MANUFACTURE VINYL SHOWER CURTAINS, AIRCRAFT WHEEL CHOCKS, FORESTRY SERVICE FIRE HOSES, FIRST AID PACKAGING, AND RATION PACKAGING UTILIZING VISUALLY IMPAIRED INDIVIDUALS. PRIMARY PURPOSE WAS TO PROVIDE SERVICES FOR THE TINKER AIR FORCE BASE SWITCHBOARD AND TECHNICAL ORDER WAREHOUSE, AND THE MCCONNELL AIR FORCE BASE SWITCHBOARD UTILIZING VISUALLY IMPAIRED INDIVIDUALS.",0.0,0.0,73-0592386,OK
